reactor,folder,runDate,fileName,file1,file2,startOffset,endOffset,isHe,isDC,desc
ipb1-30,2016-11-01-CRIO-v174_CORE_30b_He,11022016,IPB1_Temp_sequence_150-100-150ns_50W_150C-400C_Helium_day-01.csv,1,2,0,0,1,0,q-he-150-400c
ipb1-30,2016-11-01-CRIO-v174_CORE_30b_He,11042016,IPB1_Temp_sequence_150-100-150ns_50W_150C-400C_Helium_Run2_10-03-16_day-01.csv,4,5,0,0,1,0,q-he-150-400c-run2
ipb1-30,2016-11-01-CRIO-v174_CORE_30b_He,11082016,IPB1_Temp_sequence_150-100-150ns_50W_150C-400C_Helium_Run3_10-07-16_day-01.csv,6,7,0,0,1,0,q-he-150-400c-run3
ipb1-30,2016-11-01-CRIO-v174_CORE_30b_He,11092016,IPB1_Core_30b-DC_Qkcal_He-150C-500C_11-08-16_day-01.csv,8,10,0,0,1,1,dc-he-150-500c
ipb1-30,2016-11-01-CRIO-v174_CORE_30b_He,11112016,IPB1_Core_30b-Q_power_calibration_1000ns_Helium_JL__11-10-16_day-01.csv,11,12,0,0,1,0,q-he-multiple-qp-mulitple-qpulse-len
ipb1-30,2016-11-01-CRIO-v174_CORE_30b_He,11122016,IPB1_Core_30b-Q_power_calibration_1000ns_Helium_JL__11-11-16_day-01.csv,14,16,0,0,1,0,q-he-multiple-qp-mulitple-qpulse-len-continue
ipb1-30,2016-11-01-CRIO-v180_CORE_30b_He,1052016,IPB1_q-ex_day-01.csv,48,51,0,0,1,0,google q-exitation 
ipb1-30,2016-11-01-CRIO-v180_CORE_30b_He,1112017,IPB1_q-cal4_day-01.csv,58,63,0,0,1,0,google q-calibration with fixed temperature 
