8.4639,90.303,97.1
8.4667,93.568,88.7
8.4694,96.593,80.8
8.4722,99.258,75.7
8.475,101.63,69
8.4778,103.66,67.4
8.4806,105.41,61.7
8.4833,106.95,56.8
8.4861,106.95,52.3
8.4889,108.21,48.6
8.4917,109.28,45.3
8.4944,110.21,42.5
8.4972,111,39.8
8.5,111.67,38
8.5028,112.22,35.9
8.5056,112.66,35
8.5083,113.05,33.2
8.5111,113.34,31.6
8.5139,113.34,30.2
8.5167,113.6,28.9
8.5194,113.79,27.8
8.5222,113.94,26.7
8.525,114.08,25.8
8.5278,114.15,25.1
8.5306,114.18,24.3
8.5333,114.23,23.6
8.5361,114.22,22.9
8.5389,114.2,22.3
8.5417,114.2,21.7
8.5444,114.18,21.1
8.5472,114.13,20.7
8.55,114.05,20.3
8.5528,113.97,19.9
8.5556,113.86,19.4
8.5583,113.78,19.1
8.5611,113.66,18.5
8.5639,113.54,18.2
8.5667,113.42,17.9
8.5694,113.42,17.6
8.5722,113.28,17.4
8.575,113.15,17.2
8.5778,113.03,17
8.5806,112.85,16.8
8.5833,112.72,16.4
8.5861,112.57,16.2
8.5889,112.43,15.9
8.5917,112.27,15.7
8.5944,112.11,15.6
8.5972,112.11,15.4
8.6,111.95,15.3
8.6028,111.8,15.2
8.6056,111.64,15.1
8.6083,111.46,15.1
8.6111,111.32,14.8
8.6139,111.15,14.7
8.6167,111,14.4
8.6194,110.82,14.3
8.6222,110.66,14.3
8.625,110.66,14.2
8.6278,110.5,14.2
8.6306,110.34,14.2
8.6333,110.18,14.1
8.6361,110.02,14.1
8.6389,109.88,13.8
8.6417,109.72,13.9
8.6444,109.56,13.6
8.6472,109.4,13.6
8.65,109.25,13.6
8.6528,109.25,13.5
8.6556,109.11,13.6
8.6583,108.97,13.5
8.6611,108.82,13.5
8.6639,108.67,13.6
8.6667,108.52,13.3
8.6694,108.38,13.4
8.6722,108.24,13.1
8.675,108.1,13.1
8.6778,107.97,13.2
8.6806,107.97,13.2
8.6833,107.83,13.2
8.6861,107.69,13.2
8.6889,107.57,13.2
8.6917,107.45,13.2
8.6944,107.31,13.1
8.6975,107.19,13
8.7003,107.07,12.9
8.7031,106.95,12.9
8.7058,106.82,12.9
8.7086,106.82,12.9
8.7114,106.7,13
8.7142,106.57,13
8.7169,106.47,13
8.7197,106.33,13.1
8.7225,106.23,13
8.7253,106.13,12.8
8.7281,106.02,12.8
8.7308,105.91,12.8
8.7336,105.78,12.9
8.7364,105.78,12.9
8.7392,105.69,12.9
8.7419,105.59,12.9
8.7447,105.47,13
8.7475,105.38,13
8.7503,105.28,13
8.7531,105.19,12.8
8.7558,105.11,12.8
8.7586,105,12.8
8.7614,104.92,12.9
8.7642,104.92,12.9
8.7669,104.83,12.9
8.7697,104.73,12.9
8.7725,104.65,12.9
8.7753,104.55,13
8.7781,104.46,12.9
8.7808,104.39,12.8
8.7836,104.31,12.8
8.7864,104.23,12.8
8.7892,104.14,12.9
8.7919,104.14,12.9
8.7947,104.07,12.9
8.7975,103.99,12.9
8.8003,103.92,13
8.8031,103.85,13
8.8058,103.78,13
8.8086,103.7,12.8
8.8114,103.65,12.9
8.8142,103.58,12.8
8.8169,103.52,12.9
8.8197,103.52,12.9
8.8225,103.43,13
8.8253,103.38,12.9
8.8281,103.32,13
8.8308,103.27,13
8.8336,103.2,12.9
8.8364,103.14,12.8
8.8392,103.08,12.8
8.8419,103.03,12.8
8.8447,102.98,12.9
8.8475,102.98,12.9
8.8503,102.92,12.9
8.8531,102.88,12.9
8.8558,102.82,12.9
8.8586,102.77,12.9
8.8614,102.71,12.9
8.8642,102.66,12.8
8.8669,102.61,12.9
8.8697,102.55,12.9
8.8725,102.51,12.9
8.8753,102.51,12.9
8.8781,102.46,13
8.8808,102.43,12.9
8.8836,102.37,12.9
8.8864,102.33,12.9
8.8892,102.28,12.9
8.8919,102.26,12.9
8.8947,102.2,12.8
8.8975,102.17,12.9
8.9003,102.13,12.9
8.9031,102.13,12.9
8.9058,102.08,13
8.9086,102.06,12.9
8.9114,101.99,13
8.9142,101.97,12.9
8.9169,101.94,12.9
8.9197,101.89,12.9
8.9225,101.87,12.9
8.9253,101.82,12.9
8.9281,101.79,12.9
8.9308,101.79,12.9
8.9336,101.78,12.9
8.9364,101.72,13
8.9392,101.7,12.9
8.9419,101.69,12.9
8.9447,101.64,12.9
8.9475,101.62,12.9
8.9503,101.59,12.8
8.9531,101.56,12.9
8.9558,101.54,12.9
8.9586,101.54,12.8
8.9614,101.5,12.9
8.9642,101.48,12.9
8.9669,101.45,12.9
8.9697,101.42,12.9
8.9725,101.41,12.9
8.9753,101.36,12.8
8.9781,101.34,12.9
8.9808,101.32,12.9
8.9836,101.29,12.9
8.9864,101.29,12.9
8.9892,101.27,12.9
8.9919,101.25,12.9
8.9947,101.22,12.9
8.9975,101.21,12.9
9.0003,101.17,12.9
9.0031,101.18,12.9
9.0058,101.14,12.8
9.0086,101.1,12.9
9.0114,101.11,12.9
9.0142,101.11,12.8
9.0169,101.08,12.9
9.0197,101.06,12.9
9.0225,101.05,12.9
9.0253,101.02,12.9
9.0281,101.01,12.9
9.0308,100.98,12.8
9.0336,100.95,12.9
9.0364,100.96,12.9
9.0392,100.94,12.8
9.0419,100.94,12.9
9.0447,100.92,12.9
9.0475,100.92,12.8
9.0503,100.87,12.9
9.0531,100.87,12.9
9.0558,100.86,12.8
9.0586,100.84,12.8
9.0614,100.84,12.8
9.0642,100.8,12.8
9.0669,100.81,12.9
9.0697,100.81,12.8
9.0725,100.79,12.8
9.0753,100.76,12.9
9.0781,100.77,12.8
9.0808,100.75,12.8
9.0836,100.72,12.9
9.0864,100.74,12.8
9.0892,100.71,12.8
9.0919,100.7,12.8
9.0947,100.7,12.8
9.0975,100.69,12.8
9.1003,100.66,12.9
9.1031,100.67,12.8
9.1058,100.66,12.8
9.1086,100.66,12.8
9.1114,100.66,12.7
9.1142,100.63,12.7
9.1169,100.64,12.8
9.1197,100.62,12.7
9.1225,100.62,12.7
9.1253,100.6,12.8
9.1281,100.61,12.7
9.1308,100.58,12.7
9.1336,100.57,12.7
9.1364,100.58,12.7
9.1392,100.55,12.7
9.1419,100.55,12.7
9.1447,100.54,12.7
9.1475,100.51,12.7
9.1503,100.51,12.8
9.1531,100.52,12.7
9.1558,100.51,12.7
9.1586,100.5,12.7
9.1614,100.52,12.7
9.1642,100.49,12.7
9.1669,100.49,12.7
9.1697,100.47,12.7
9.1725,100.47,12.7
9.1753,100.47,12.7
9.1781,100.47,12.7
9.1808,100.45,12.7
9.1836,100.43,12.7
9.1864,100.44,12.7
9.1892,100.42,12.7
9.1919,100.43,12.7
9.1947,100.42,12.7
9.1975,100.41,12.6
9.2003,100.41,12.7
9.2031,100.39,12.6
9.2058,100.39,12.7
9.2086,100.4,12.6
9.2114,100.4,12.6
9.2142,100.38,12.7
9.2169,100.39,12.6
9.2197,100.38,12.6
9.2225,100.38,12.6
9.2253,100.37,12.5
9.2281,100.36,12.6
9.2308,100.35,12.6
9.2336,100.35,12.6
9.2364,100.36,12.5
9.2392,100.34,12.6
9.2419,100.35,12.5
