reactor,folder,runDate,file1,file2,startOffset,endOffset,isHe,isDC,desc
ipb1-30,1,11022016,1,2,0,0,1,0,q-he-150-400c
ipb1-30,1,11042016,4,5,0,0,1,0,q-he-150-400c-run2
ipb1-30,1,11082016,6,7,0,0,1,0,q-he-150-400c-run3
ipb1-30,1,11092016,8,10,0,0,1,1,dc-he-150-500c
ipb1-30,1,11112016,11,12,0,0,1,0,q-he-multiple-qp-mulitple-qpulse-len
ipb1-30,1,11122016,14,16,0,0,1,0,q-he-multiple-qp-mulitple-qpulse-len-continue
ipb1-30,2,1112017,58,61,0,0,1,0,google q-calibration with fixed temperature 
